用户编号,总缴费次数,总缴费金额（元）,平均缴费次数(年),平均缴费金额（元）,用户类型
1000000001,8,987,7.920792079207921,977.2277227722773,高价值用户
1000000002,7,490,6.9306930693069315,485.1485148514851,大众型用户
1000000003,7,1180,6.9306930693069315,1168.3168316831684,高价值用户
1000000004,8,621,8.0,621.0,大众型用户
1000000005,7,1500,6.9306930693069315,1485.148514851485,高价值用户
1000000006,7,1010,6.9306930693069315,1000.0,高价值用户
1000000007,7,1106,6.9306930693069315,1095.049504950495,高价值用户
1000000008,7,1074,6.9306930693069315,1063.3663366336634,高价值用户
1000000009,7,970,6.9306930693069315,960.3960396039604,高价值用户
1000000010,8,773,7.920792079207921,765.3465346534654,高价值用户
1000000011,7,748,7.0,748.0,高价值用户
1000000012,7,911,7.0,911.0,高价值用户
1000000013,7,835,7.0,835.0,高价值用户
1000000014,7,749,7.0,749.0,高价值用户
1000000015,7,700,7.0,700.0,大众型用户
1000000016,8,784,8.0,784.0,高价值用户
1000000017,7,780,7.0,780.0,高价值用户
1000000018,7,641,7.0,641.0,大众型用户
1000000019,6,729,6.0,729.0,潜力型用户
1000000020,7,899,6.9306930693069315,890.09900990099,高价值用户
1000000021,7,757,6.9306930693069315,749.5049504950495,高价值用户
1000000022,6,534,5.9405940594059405,528.7128712871287,低价值用户
1000000023,5,493,4.950495049504951,488.11881188118815,低价值用户
1000000024,7,904,6.9306930693069315,895.049504950495,高价值用户
1000000025,7,651,6.9306930693069315,644.5544554455447,大众型用户
1000000026,7,777,6.9306930693069315,769.3069306930693,高价值用户
1000000027,7,631,6.9306930693069315,624.7524752475247,大众型用户
1000000028,6,571,6.0,571.0,低价值用户
1000000029,7,691,6.9306930693069315,684.1584158415842,大众型用户
1000000030,7,671,6.9306930693069315,664.3564356435644,大众型用户
1000000031,7,655,6.9306930693069315,648.5148514851485,大众型用户
1000000032,6,519,7.0588235294117645,610.5882352941177,大众型用户
1000000033,6,545,5.9405940594059405,539.6039603960396,低价值用户
1000000034,7,721,7.0,721.0,大众型用户
1000000035,7,769,7.0,769.0,高价值用户
1000000036,6,645,6.9767441860465125,750.0,高价值用户
1000000037,7,627,7.0,627.0,大众型用户
1000000038,6,534,6.0,534.0,低价值用户
1000000039,7,750,6.7961165048543695,728.1553398058252,潜力型用户
1000000040,7,656,7.0,656.0,大众型用户
1000000041,6,683,7.317073170731707,832.9268292682927,高价值用户
1000000042,7,612,7.0,612.0,大众型用户
1000000043,7,640,7.0,640.0,大众型用户
1000000044,6,601,6.0,601.0,低价值用户
1000000045,7,711,7.0,711.0,大众型用户
1000000046,6,711,6.0,711.0,低价值用户
1000000047,7,654,6.9306930693069315,647.5247524752475,大众型用户
1000000048,6,678,5.9405940594059405,671.2871287128712,低价值用户
1000000049,7,589,6.9306930693069315,583.1683168316831,大众型用户
1000000050,7,568,6.9306930693069315,562.3762376237623,大众型用户
1000000051,6,597,7.0588235294117645,702.3529411764706,大众型用户
1000000052,7,766,6.9306930693069315,758.4158415841583,高价值用户
1000000053,7,694,6.9306930693069315,687.1287128712871,大众型用户
1000000054,6,459,5.9405940594059405,454.4554455445544,低价值用户
1000000055,7,788,6.9306930693069315,780.1980198019803,高价值用户
1000000056,7,714,6.9306930693069315,706.9306930693069,大众型用户
1000000057,7,711,6.9306930693069315,703.960396039604,大众型用户
1000000058,7,685,6.862745098039214,671.5686274509802,大众型用户
1000000059,8,740,7.84313725490196,725.4901960784314,高价值用户
1000000060,7,730,6.862745098039214,715.686274509804,大众型用户
1000000061,7,683,6.862745098039214,669.6078431372549,大众型用户
1000000062,7,773,6.9306930693069315,765.3465346534654,高价值用户
1000000063,7,628,6.9306930693069315,621.7821782178218,大众型用户
1000000064,6,520,5.9405940594059405,514.8514851485148,低价值用户
1000000065,7,734,6.9306930693069315,726.7326732673268,高价值用户
1000000066,6,699,5.9405940594059405,692.0792079207921,低价值用户
1000000067,7,689,6.9306930693069315,682.1782178217821,大众型用户
1000000068,7,711,6.9306930693069315,703.960396039604,大众型用户
1000000069,6,548,5.9405940594059405,542.5742574257425,低价值用户
1000000070,8,667,7.920792079207921,660.3960396039604,大众型用户
1000000071,7,742,6.9306930693069315,734.6534653465346,高价值用户
1000000072,7,798,6.9306930693069315,790.09900990099,高价值用户
1000000073,4,404,3.96039603960396,400.0,低价值用户
1000000074,7,636,6.9306930693069315,629.7029702970298,大众型用户
1000000075,7,629,6.9306930693069315,622.7722772277227,大众型用户
1000000076,7,725,6.9306930693069315,717.821782178218,大众型用户
1000000077,7,720,6.9306930693069315,712.8712871287129,大众型用户
1000000078,5,592,4.950495049504951,586.1386138613861,低价值用户
1000000079,6,597,5.9405940594059405,591.0891089108911,低价值用户
1000000080,7,603,6.9306930693069315,597.0297029702971,大众型用户
1000000081,7,680,6.9306930693069315,673.2673267326733,大众型用户
1000000082,5,508,7.4626865671641776,758.2089552238806,高价值用户
1000000083,7,748,6.9306930693069315,740.5940594059406,高价值用户
1000000084,7,1289,6.9306930693069315,1276.2376237623762,高价值用户
1000000085,7,569,6.9306930693069315,563.3663366336633,大众型用户
1000000086,4,325,7.6923076923076925,625.0,大众型用户
1000000087,7,651,6.9306930693069315,644.5544554455447,大众型用户
1000000088,7,538,6.9306930693069315,532.6732673267327,大众型用户
1000000089,5,388,7.246376811594202,562.3188405797101,大众型用户
1000000090,6,612,7.142857142857142,728.5714285714287,高价值用户
1000000091,7,761,6.9306930693069315,753.4653465346535,高价值用户
1000000092,3,254,8.823529411764705,747.0588235294118,高价值用户
1000000093,5,463,7.246376811594202,671.0144927536232,大众型用户
1000000094,6,626,7.142857142857142,745.2380952380953,高价值用户
1000000095,7,999,6.9306930693069315,989.1089108910893,高价值用户
1000000096,7,916,6.9306930693069315,906.9306930693068,高价值用户
1000000097,6,649,5.9405940594059405,642.5742574257425,低价值用户
1000000098,6,735,7.0588235294117645,864.7058823529413,高价值用户
1000000099,6,853,5.9405940594059405,844.5544554455446,潜力型用户
1000000100,7,943,6.9306930693069315,933.6633663366337,高价值用户
